,Zipcode,Stats,EDUCATIONAL ATTAINMENT,Below poverty level,Percent below poverty level,Total
265,60043,Margin of Error,Bachelor's degree or higher,28.0,2.2,94.0
266,60043,Margin of Error,High school graduate (includes equivalency),12.0,49.4,28.0
267,60043,Margin of Error,Less than high school graduate,12.0,74.1,19.0
268,60043,Margin of Error,Population 25 years and over,28.0,2.0,94.0
269,60043,Margin of Error,"Some college, associate's degree",12.0,37.6,34.0
270,60044,Estimate,Bachelor's degree or higher,236.0,4.8,4882.0
271,60044,Estimate,High school graduate (includes equivalency),38.0,5.7,664.0
272,60044,Estimate,Less than high school graduate,0.0,0.0,359.0
273,60044,Estimate,Population 25 years and over,315.0,4.6,6885.0
274,60044,Estimate,"Some college, associate's degree",41.0,4.2,980.0
275,60044,Margin of Error,Bachelor's degree or higher,92.0,1.9,369.0
276,60044,Margin of Error,High school graduate (includes equivalency),30.0,4.5,181.0
277,60044,Margin of Error,Less than high school graduate,19.0,8.6,253.0
278,60044,Margin of Error,Population 25 years and over,117.0,1.7,376.0
279,60044,Margin of Error,"Some college, associate's degree",34.0,3.4,196.0
280,60045,Estimate,Bachelor's degree or higher,229.0,2.0,11623.0
281,60045,Estimate,High school graduate (includes equivalency),83.0,10.4,800.0
282,60045,Estimate,Less than high school graduate,12.0,13.2,91.0
283,60045,Estimate,Population 25 years and over,436.0,3.0,14316.0
284,60045,Estimate,"Some college, associate's degree",112.0,6.2,1802.0
285,60045,Margin of Error,Bachelor's degree or higher,123.0,1.1,643.0
286,60045,Margin of Error,High school graduate (includes equivalency),70.0,8.5,159.0
287,60045,Margin of Error,Less than high school graduate,16.0,17.9,50.0
288,60045,Margin of Error,Population 25 years and over,160.0,1.1,561.0
289,60045,Margin of Error,"Some college, associate's degree",63.0,3.3,315.0
290,60046,Estimate,Bachelor's degree or higher,108.0,1.2,9341.0
291,60046,Estimate,High school graduate (includes equivalency),486.0,9.5,5127.0
292,60046,Estimate,Less than high school graduate,250.0,22.3,1119.0
293,60046,Estimate,Population 25 years and over,1132.0,5.1,22264.0
294,60046,Estimate,"Some college, associate's degree",288.0,4.3,6677.0
295,60046,Margin of Error,Bachelor's degree or higher,51.0,0.6,680.0
296,60046,Margin of Error,High school graduate (includes equivalency),231.0,4.3,448.0
297,60046,Margin of Error,Less than high school graduate,185.0,14.8,261.0
298,60046,Margin of Error,Population 25 years and over,426.0,2.0,599.0
299,60046,Margin of Error,"Some college, associate's degree",115.0,1.8,563.0
300,60047,Estimate,Bachelor's degree or higher,234.0,1.4,17169.0
301,60047,Estimate,High school graduate (includes equivalency),203.0,5.9,3464.0
302,60047,Estimate,Less than high school graduate,22.0,2.0,1121.0
303,60047,Estimate,Population 25 years and over,787.0,2.9,27567.0
304,60047,Estimate,"Some college, associate's degree",328.0,5.6,5813.0
305,60047,Margin of Error,Bachelor's degree or higher,109.0,0.6,709.0
306,60047,Margin of Error,High school graduate (includes equivalency),117.0,3.2,498.0
307,60047,Margin of Error,Less than high school graduate,26.0,2.1,409.0
308,60047,Margin of Error,Population 25 years and over,248.0,0.9,620.0
309,60047,Margin of Error,"Some college, associate's degree",136.0,2.3,521.0
310,60048,Estimate,Bachelor's degree or higher,285.0,2.1,13790.0
311,60048,Estimate,High school graduate (includes equivalency),199.0,10.3,1927.0
312,60048,Estimate,Less than high school graduate,80.0,19.8,405.0
313,60048,Estimate,Population 25 years and over,735.0,3.8,19356.0
314,60048,Estimate,"Some college, associate's degree",171.0,5.3,3234.0
315,60048,Margin of Error,Bachelor's degree or higher,94.0,0.7,592.0
316,60048,Margin of Error,High school graduate (includes equivalency),110.0,5.4,254.0
317,60048,Margin of Error,Less than high school graduate,100.0,20.5,149.0
318,60048,Margin of Error,Population 25 years and over,224.0,1.2,544.0
319,60048,Margin of Error,"Some college, associate's degree",97.0,3.0,349.0
320,60050,Estimate,Bachelor's degree or higher,167.0,2.6,6389.0
321,60050,Estimate,High school graduate (includes equivalency),612.0,8.9,6853.0
322,60050,Estimate,Less than high school graduate,296.0,17.8,1662.0
323,60050,Estimate,Population 25 years and over,1366.0,6.1,22280.0
324,60050,Estimate,"Some college, associate's degree",291.0,3.9,7376.0
325,60050,Margin of Error,Bachelor's degree or higher,106.0,1.7,496.0
326,60050,Margin of Error,High school graduate (includes equivalency),186.0,2.7,533.0
327,60050,Margin of Error,Less than high school graduate,193.0,10.5,332.0
328,60050,Margin of Error,Population 25 years and over,393.0,1.8,801.0
329,60050,Margin of Error,"Some college, associate's degree",117.0,1.6,646.0
330,60051,Estimate,Bachelor's degree or higher,179.0,3.4,5244.0
331,60051,Estimate,High school graduate (includes equivalency),290.0,5.8,5026.0
332,60051,Estimate,Less than high school graduate,35.0,3.3,1069.0
333,60051,Estimate,Population 25 years and over,799.0,4.9,16381.0
334,60051,Estimate,"Some college, associate's degree",295.0,5.9,5042.0
335,60051,Margin of Error,Bachelor's degree or higher,196.0,3.6,724.0
336,60051,Margin of Error,High school graduate (includes equivalency),115.0,2.3,455.0
337,60051,Margin of Error,Less than high school graduate,44.0,4.2,256.0
338,60051,Margin of Error,Population 25 years and over,255.0,1.6,842.0
339,60051,Margin of Error,"Some college, associate's degree",115.0,2.3,448.0
340,60053,Estimate,Bachelor's degree or higher,391.0,4.7,8246.0
341,60053,Estimate,High school graduate (includes equivalency),265.0,7.9,3364.0
342,60053,Estimate,Less than high school graduate,259.0,15.5,1671.0
343,60053,Estimate,Population 25 years and over,1061.0,6.2,17119.0
344,60053,Estimate,"Some college, associate's degree",146.0,3.8,3838.0
345,60053,Margin of Error,Bachelor's degree or higher,231.0,2.8,612.0
346,60053,Margin of Error,High school graduate (includes equivalency),136.0,3.8,443.0
347,60053,Margin of Error,Less than high school graduate,176.0,9.3,366.0
348,60053,Margin of Error,Population 25 years and over,349.0,2.1,360.0
349,60053,Margin of Error,"Some college, associate's degree",72.0,1.9,397.0
350,60056,Estimate,Bachelor's degree or higher,773.0,4.5,17224.0
351,60056,Estimate,High school graduate (includes equivalency),631.0,7.3,8691.0
352,60056,Estimate,Less than high school graduate,435.0,12.4,3514.0
353,60056,Estimate,Population 25 years and over,2315.0,6.0,38903.0
354,60056,Estimate,"Some college, associate's degree",476.0,5.0,9474.0
355,60056,Margin of Error,Bachelor's degree or higher,241.0,1.4,1031.0
356,60056,Margin of Error,High school graduate (includes equivalency),207.0,2.2,836.0
357,60056,Margin of Error,Less than high school graduate,184.0,5.5,530.0
358,60056,Margin of Error,Population 25 years and over,439.0,1.2,810.0
359,60056,Margin of Error,"Some college, associate's degree",157.0,1.7,731.0
360,60060,Estimate,Bachelor's degree or higher,196.0,1.8,10973.0
361,60060,Estimate,High school graduate (includes equivalency),241.0,4.5,5387.0
362,60060,Estimate,Less than high school graduate,202.0,6.8,2960.0
363,60060,Estimate,Population 25 years and over,1295.0,5.0,25883.0
364,60060,Estimate,"Some college, associate's degree",656.0,10.0,6563.0
365,60060,Margin of Error,Bachelor's degree or higher,96.0,0.9,658.0
366,60060,Margin of Error,High school graduate (includes equivalency),114.0,2.2,554.0
367,60060,Margin of Error,Less than high school graduate,105.0,3.7,454.0
368,60060,Margin of Error,Population 25 years and over,386.0,1.5,825.0
369,60060,Margin of Error,"Some college, associate's degree",282.0,3.9,644.0
370,60061,Estimate,Bachelor's degree or higher,235.0,2.1,10970.0
371,60061,Estimate,High school graduate (includes equivalency),207.0,8.6,2404.0
372,60061,Estimate,Less than high school graduate,533.0,48.9,1091.0
373,60061,Estimate,Population 25 years and over,1180.0,6.5,18170.0
374,60061,Estimate,"Some college, associate's degree",205.0,5.5,3705.0
375,60061,Margin of Error,Bachelor's degree or higher,102.0,0.9,625.0
376,60061,Margin of Error,High school graduate (includes equivalency),109.0,4.9,494.0
377,60061,Margin of Error,Less than high school graduate,222.0,14.5,306.0
378,60061,Margin of Error,Population 25 years and over,312.0,1.7,530.0
379,60061,Margin of Error,"Some college, associate's degree",120.0,3.4,636.0
380,60062,Estimate,Bachelor's degree or higher,562.0,2.8,20017.0
381,60062,Estimate,High school graduate (includes equivalency),170.0,4.7,3636.0
382,60062,Estimate,Less than high school graduate,117.0,19.9,589.0
383,60062,Estimate,Population 25 years and over,1169.0,4.0,28977.0
384,60062,Estimate,"Some college, associate's degree",320.0,6.8,4735.0
385,60062,Margin of Error,Bachelor's degree or higher,230.0,1.1,997.0
386,60062,Margin of Error,High school graduate (includes equivalency),95.0,2.8,763.0
387,60062,Margin of Error,Less than high school graduate,88.0,13.9,188.0
388,60062,Margin of Error,Population 25 years and over,302.0,1.0,866.0
389,60062,Margin of Error,"Some college, associate's degree",130.0,2.7,519.0
390,60064,Estimate,Bachelor's degree or higher,275.0,25.2,1093.0
391,60064,Estimate,High school graduate (includes equivalency),464.0,16.6,2787.0
392,60064,Estimate,Less than high school graduate,638.0,25.2,2536.0
393,60064,Estimate,Population 25 years and over,1638.0,18.2,8983.0
394,60064,Estimate,"Some college, associate's degree",261.0,10.2,2567.0
395,60064,Margin of Error,Bachelor's degree or higher,160.0,12.5,244.0
396,60064,Margin of Error,High school graduate (includes equivalency),170.0,5.5,426.0
397,60064,Margin of Error,Less than high school graduate,170.0,6.3,277.0
398,60064,Margin of Error,Population 25 years and over,325.0,3.5,735.0
399,60064,Margin of Error,"Some college, associate's degree",106.0,3.9,344.0
400,60067,Estimate,Bachelor's degree or higher,512.0,3.0,16834.0
