,Zipcode,Stats,SEX,Below poverty level,Percent below poverty level,Total
383,60143,Margin of Error,Male,124.0,2.3,341.0
384,60144,Estimate,Female,0.0,0.0,38.0
385,60144,Estimate,Male,0.0,0.0,29.0
386,60144,Margin of Error,Female,12.0,48.1,32.0
387,60144,Margin of Error,Male,12.0,55.1,17.0
388,60145,Estimate,Female,207.0,15.6,1328.0
389,60145,Estimate,Male,319.0,18.2,1750.0
390,60145,Margin of Error,Female,138.0,9.4,221.0
391,60145,Margin of Error,Male,272.0,13.8,338.0
392,60146,Estimate,Female,107.0,9.7,1102.0
393,60146,Estimate,Male,94.0,8.4,1119.0
394,60146,Margin of Error,Female,65.0,5.5,218.0
395,60146,Margin of Error,Male,47.0,4.2,236.0
396,60148,Estimate,Female,1477.0,5.6,26611.0
397,60148,Estimate,Male,1206.0,4.8,24941.0
398,60148,Margin of Error,Female,424.0,1.6,798.0
399,60148,Margin of Error,Male,243.0,1.0,718.0
400,60150,Estimate,Female,141.0,14.8,950.0
401,60150,Estimate,Male,198.0,17.7,1121.0
402,60150,Margin of Error,Female,106.0,10.1,166.0
403,60150,Margin of Error,Male,174.0,13.4,218.0
404,60151,Estimate,Female,53.0,2.5,2089.0
405,60151,Estimate,Male,42.0,2.0,2152.0
406,60151,Margin of Error,Female,31.0,1.5,253.0
407,60151,Margin of Error,Male,28.0,1.3,275.0
408,60152,Estimate,Female,792.0,12.6,6294.0
409,60152,Estimate,Male,398.0,6.8,5890.0
410,60152,Margin of Error,Female,308.0,4.7,489.0
411,60152,Margin of Error,Male,163.0,2.8,501.0
412,60153,Estimate,Female,1467.0,12.4,11790.0
413,60153,Estimate,Male,1252.0,11.0,11421.0
414,60153,Margin of Error,Female,453.0,3.7,467.0
415,60153,Margin of Error,Male,354.0,3.1,476.0
416,60154,Estimate,Female,302.0,3.6,8433.0
417,60154,Estimate,Male,289.0,3.8,7659.0
418,60154,Margin of Error,Female,104.0,1.3,320.0
419,60154,Margin of Error,Male,109.0,1.4,328.0
420,60155,Estimate,Female,239.0,6.4,3755.0
421,60155,Estimate,Male,348.0,8.9,3922.0
422,60155,Margin of Error,Female,118.0,3.1,374.0
423,60155,Margin of Error,Male,189.0,4.7,373.0
424,60156,Estimate,Female,776.0,5.2,14790.0
425,60156,Estimate,Male,711.0,5.1,13875.0
426,60156,Margin of Error,Female,310.0,2.1,381.0
427,60156,Margin of Error,Male,240.0,1.7,391.0
428,60157,Estimate,Female,42.0,3.2,1329.0
429,60157,Estimate,Male,48.0,3.4,1411.0
430,60157,Margin of Error,Female,55.0,4.1,215.0
431,60157,Margin of Error,Male,42.0,3.0,227.0
432,60160,Estimate,Female,2133.0,17.5,12207.0
433,60160,Estimate,Male,1872.0,14.3,13065.0
434,60160,Margin of Error,Female,512.0,4.2,650.0
435,60160,Margin of Error,Male,527.0,4.0,662.0
436,60162,Estimate,Female,181.0,4.7,3854.0
437,60162,Estimate,Male,241.0,6.3,3843.0
438,60162,Margin of Error,Female,76.0,1.9,375.0
439,60162,Margin of Error,Male,119.0,3.1,314.0
440,60163,Estimate,Female,98.0,4.1,2364.0
441,60163,Estimate,Male,61.0,2.2,2715.0
442,60163,Margin of Error,Female,71.0,2.9,166.0
443,60163,Margin of Error,Male,47.0,1.7,166.0
444,60164,Estimate,Female,1453.0,14.2,10251.0
445,60164,Estimate,Male,1268.0,11.9,10646.0
446,60164,Margin of Error,Female,452.0,4.3,572.0
447,60164,Margin of Error,Male,402.0,3.5,668.0
448,60165,Estimate,Female,451.0,18.7,2406.0
449,60165,Estimate,Male,397.0,16.3,2436.0
450,60165,Margin of Error,Female,262.0,10.6,221.0
451,60165,Margin of Error,Male,213.0,8.6,222.0
452,60169,Estimate,Female,1106.0,6.6,16866.0
453,60169,Estimate,Male,723.0,4.5,16033.0
454,60169,Margin of Error,Female,315.0,1.8,669.0
455,60169,Margin of Error,Male,261.0,1.6,659.0
456,60171,Estimate,Female,543.0,10.3,5249.0
457,60171,Estimate,Male,456.0,9.7,4708.0
458,60171,Margin of Error,Female,214.0,4.1,247.0
459,60171,Margin of Error,Male,261.0,5.5,246.0
460,60172,Estimate,Female,710.0,5.6,12789.0
461,60172,Estimate,Male,392.0,3.5,11223.0
462,60172,Margin of Error,Female,233.0,1.8,508.0
463,60172,Margin of Error,Male,175.0,1.5,469.0
464,60173,Estimate,Female,328.0,5.1,6390.0
465,60173,Estimate,Male,289.0,4.7,6171.0
466,60173,Margin of Error,Female,140.0,2.2,551.0
467,60173,Margin of Error,Male,131.0,2.1,451.0
468,60174,Estimate,Female,757.0,4.8,15869.0
469,60174,Estimate,Male,473.0,3.2,14755.0
470,60174,Margin of Error,Female,219.0,1.4,826.0
471,60174,Margin of Error,Male,206.0,1.4,752.0
472,60175,Estimate,Female,527.0,4.1,12946.0
473,60175,Estimate,Male,425.0,3.3,12973.0
474,60175,Margin of Error,Female,289.0,2.2,672.0
475,60175,Margin of Error,Male,238.0,1.8,656.0
476,60176,Estimate,Female,607.0,11.4,5347.0
477,60176,Estimate,Male,801.0,13.1,6100.0
478,60176,Margin of Error,Female,221.0,4.2,397.0
479,60176,Margin of Error,Male,386.0,6.1,389.0
480,60177,Estimate,Female,615.0,5.6,11081.0
481,60177,Estimate,Male,826.0,7.0,11717.0
482,60177,Margin of Error,Female,253.0,2.3,539.0
483,60177,Margin of Error,Male,548.0,4.5,579.0
484,60178,Estimate,Female,1183.0,9.9,11905.0
485,60178,Estimate,Male,920.0,9.0,10166.0
486,60178,Margin of Error,Female,370.0,3.0,616.0
487,60178,Margin of Error,Male,286.0,2.7,533.0
488,60180,Estimate,Female,65.0,7.0,923.0
489,60180,Estimate,Male,65.0,7.1,921.0
490,60180,Margin of Error,Female,75.0,8.6,219.0
491,60180,Margin of Error,Male,65.0,7.3,205.0
492,60181,Estimate,Female,1031.0,6.9,14872.0
493,60181,Estimate,Male,1089.0,7.5,14449.0
494,60181,Margin of Error,Female,226.0,1.5,550.0
495,60181,Margin of Error,Male,399.0,2.7,576.0
496,60184,Estimate,Female,16.0,1.2,1317.0
497,60184,Estimate,Male,8.0,0.7,1130.0
498,60184,Margin of Error,Female,14.0,1.1,277.0
499,60184,Margin of Error,Male,9.0,0.8,182.0
500,60185,Estimate,Female,1548.0,8.7,17753.0
501,60185,Estimate,Male,1569.0,9.0,17389.0
502,60185,Margin of Error,Female,309.0,1.7,690.0
503,60185,Margin of Error,Male,383.0,2.2,590.0
504,60187,Estimate,Female,946.0,7.2,13219.0
505,60187,Estimate,Male,472.0,3.5,13480.0
506,60187,Margin of Error,Female,266.0,1.9,621.0
507,60187,Margin of Error,Male,187.0,1.4,707.0
508,60188,Estimate,Female,1711.0,8.2,20901.0
509,60188,Estimate,Male,1488.0,7.3,20385.0
510,60188,Margin of Error,Female,434.0,2.1,527.0
511,60188,Margin of Error,Male,335.0,1.6,561.0
512,60189,Estimate,Female,936.0,6.1,15373.0
513,60189,Estimate,Male,610.0,4.1,14985.0
514,60189,Margin of Error,Female,370.0,2.4,688.0
515,60189,Margin of Error,Male,259.0,1.7,706.0
516,60190,Estimate,Female,55.0,1.0,5473.0
517,60190,Estimate,Male,140.0,2.5,5613.0
518,60190,Margin of Error,Female,42.0,0.8,304.0
