,Zipcode,Age group,Estimate
618,61460,Under 5 years,11.0
619,61462,Under 5 years,616.0
620,61465,Under 5 years,50.0
621,61466,Under 5 years,21.0
622,61467,Under 5 years,109.0
623,61468,Under 5 years,44.0
624,61469,Under 5 years,41.0
625,61470,Under 5 years,28.0
626,61471,Under 5 years,20.0
627,61472,Under 5 years,17.0
628,61473,Under 5 years,100.0
629,61474,Under 5 years,15.0
630,61475,Under 5 years,9.0
631,61476,Under 5 years,45.0
632,61477,Under 5 years,44.0
633,61478,Under 5 years,0.0
634,61479,Under 5 years,27.0
635,61480,Under 5 years,98.0
636,61482,Under 5 years,43.0
637,61483,Under 5 years,98.0
638,61484,Under 5 years,45.0
639,61485,Under 5 years,9.0
640,61486,Under 5 years,99.0
641,61488,Under 5 years,128.0
642,61489,Under 5 years,57.0
643,61490,Under 5 years,15.0
644,61491,Under 5 years,97.0
645,61501,Under 5 years,138.0
646,61516,Under 5 years,39.0
647,61517,Under 5 years,220.0
648,61519,Under 5 years,25.0
649,61520,Under 5 years,600.0
650,61523,Under 5 years,821.0
651,61524,Under 5 years,20.0
652,61525,Under 5 years,1055.0
653,61526,Under 5 years,21.0
654,61528,Under 5 years,97.0
655,61529,Under 5 years,271.0
656,61530,Under 5 years,415.0
657,61531,Under 5 years,162.0
658,61532,Under 5 years,100.0
659,61533,Under 5 years,128.0
660,61534,Under 5 years,131.0
661,61535,Under 5 years,69.0
662,61536,Under 5 years,267.0
663,61537,Under 5 years,142.0
664,61539,Under 5 years,11.0
665,61540,Under 5 years,160.0
666,61541,Under 5 years,3.0
667,61542,Under 5 years,144.0
668,61543,Under 5 years,0.0
669,61544,Under 5 years,84.0
670,61545,Under 5 years,69.0
671,61546,Under 5 years,240.0
672,61547,Under 5 years,287.0
673,61548,Under 5 years,680.0
674,61550,Under 5 years,811.0
675,61552,Under 5 years,72.0
676,61553,Under 5 years,9.0
677,61554,Under 5 years,2646.0
678,61559,Under 5 years,150.0
679,61560,Under 5 years,20.0
680,61561,Under 5 years,148.0
681,61562,Under 5 years,0.0
682,61563,Under 5 years,51.0
683,61564,Under 5 years,71.0
684,61565,Under 5 years,54.0
685,61567,Under 5 years,2.0
686,61568,Under 5 years,246.0
687,61569,Under 5 years,52.0
688,61570,Under 5 years,99.0
689,61571,Under 5 years,1501.0
690,61572,Under 5 years,97.0
691,61602,Under 5 years,0.0
692,61603,Under 5 years,1019.0
693,61604,Under 5 years,1881.0
694,61605,Under 5 years,1251.0
695,61606,Under 5 years,592.0
696,61607,Under 5 years,374.0
697,61610,Under 5 years,238.0
698,61611,Under 5 years,1205.0
699,61614,Under 5 years,1886.0
700,61615,Under 5 years,1697.0
701,61616,Under 5 years,351.0
702,61625,Under 5 years,0.0
703,61701,Under 5 years,2157.0
704,61704,Under 5 years,2773.0
705,61705,Under 5 years,863.0
706,61720,Under 5 years,24.0
707,61721,Under 5 years,58.0
708,61722,Under 5 years,13.0
709,61723,Under 5 years,222.0
710,61724,Under 5 years,25.0
711,61725,Under 5 years,112.0
712,61726,Under 5 years,125.0
713,61727,Under 5 years,531.0
714,61728,Under 5 years,38.0
715,61729,Under 5 years,257.0
716,61730,Under 5 years,96.0
717,61731,Under 5 years,13.0
718,61732,Under 5 years,135.0
719,61733,Under 5 years,40.0
720,61734,Under 5 years,106.0
